Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Which of the following positions most closely reflects your job role? Please select all that apply.,,,,,Which of the following best describes your work environment? Please select all that apply. (i.e. If you are in a combined setting you may select multiple levels.),,,,,,,"Which of the following best describes the school(s) you work in, administer, or oversee? Please select all that apply.",,,,,"Below is a list of organizations and associations that provide programs, standards, and guidelines. Please select the ones which are useful to you in your work.",,,,,,,,,,,,,,,What does school library staffing look like in your place of work or the school(s) you support? Please select all that apply.,,,,,,How often do you collaborate and work with the school librarian(s)?,What are the main reasons you do not work with or collaborate more often with the school librarian?,"As an educator, how do you work with the school librarian? Please select all that apply.",,,,,,,Who usually initiates collaborations between yourself and the school librarian?,,"In your opinion, what are the school librarian’s most important contributions to the education program of the school?",In which of the following ways do you engage with your school librarian(s) to effectively maximize their contribution to your academic program? Please select all that apply.,,,,,,"Here is an image of the National School Library Standards for Learners, School Librarians, and School Libraries [book] produced by the American Association of School Librarians (AASL)? Please indicate whether you have seen this document before today or have a copy of this document. Please select all that apply. Standards Book Cover",,,,,,Here is an image of the AASL Standards Framework for Learners [pamphlet] produced by the American Association of School Librarians (AASL)? Please indicate whether you have seen this document before today or have a copy of this document. Please select all that apply. Learner Pamphlet Cover,,,,,,"How familiar are you with the content of the National School Library Standards for Learners, School Librarians, and School Libraries?","Overall, how would you rate the AASL National School Library Standards?",For what reason did you give that rating? Please explain your thinking.,"Below is a list of words and phrases. Please indicate how well you think each word or phrase describes the National School Library Standards for Learners, School Librarians, and School Libraries.",,,,,,,,,,"Please state how much you agree or disagree with each of the following statements about AASL’s National School Library Standards for Learners, School Librarians, and School Libraries.",,,Please state how much you agree or disagree with each of the following Common Beliefs of the school library profession.,,,,,,"Does the school librarian use the National School Library Standards for Learners, School Librarians, and School Libraries in their work?","In which of the following ways have you worked with the school librarian to implement the National School Library Standards for Learners, School Librarians, and School Libraries? Please select all that apply.",,,,,,,,,,,,,,What are some things that could be done to better aid your collaboration with your school librarian to implement the National School Library Standards?,How frequently do you use or refer to the National School Library Standards when working with your school librarian?,How often do you reference each of the following AASL Standards Frameworks when collaborating with your school librarian?,,,How often do you consider each of the AASL Standards Shared Foundations when collaborating with your school librarian?,,,,,,How often do you consider each of the AASL Standards Domains when collaborating with your school librarian?,,,,"Overall, how would you rate AASL’s efforts to set and maintain up-to-date and practical standards and supporting resources?",For what reason did you give that rating? Please explain your thinking.,What additional supports would have been helpful to you when you first encountered the National School Library Standards?,What is your age group?,What is the last grade of school you completed?,How many years have you been an educator?,"As an educator, how many years have you been in your current role?","In what state or U.S. territory do you work? If you are not currently working, pick the state or territory in which you live. If you live/work outside of the United States, please select “Outside of the United States” at the end of the list.",In what country do you work?,"Are you using an English version of the AASL standards, or one that has been translated from English into another language? Please select all that apply.",,,What is the primary language spoken in your work environment?,,"Are you of Hispanic or Latino background – such as Mexican, Puerto Rican, Cuban, or another Latin American background?",Which of the following categories best describes your race or ethnicity?,,Which of the following categories best describes your employment status?,,Is there anything else you would like to add?
,,,,,,,,,None of the above,Teacher (e.g. educational faculty),Support staff (e.g. teacher’s aide),Building Level Technology (e.g. tech specialist/ coach),Instructional Facilitator/ Coach,Elementary school,Middle school or junior high school,High school,Multiple buildings,School District office,"Local, state, or federal government office",Other (please specify),Public school,Private school,Charter school,Magnet school,Other (please specify),None of the above,American Association of School Librarians (AASL),American Library Association (ALA),Association for Supervision and Curriculum Development (ASCD),Common Core State Standards Initiative (CCSS),Consortium for School Networking (CoSN),Council for the Accreditation of Educator Preparation (CAEP- formerly NCATE),Future Ready Schools,International Society for Technology in Education (ISTE),National Board for Professional Teaching Standards (NBPTS),National Council for the Social Studies (NCSS),National Council of Teachers of English (NCTE),National Council of Teachers of Mathematics (NCTM),Next Generation Science Standards (NGSS),Other (please specify),None of the above,Certified / licensed school librarian,Paraprofessional or other non-instructional staff,Teacher on special assignment,Volunteer,Not sure,Response,Open-Ended Response,The school librarian provides resources.,The school librarian supports my lessons.,We plan instructional units together.,We deliver instruction together.,We assess together.,We collaborate on special events and programming.,Other (please specify),Response,Other (please specify),Open-Ended Response,I do not facilitate opportunities.,School librarians participate in content/department meetings.,School librarians participate in grade-level meetings.,Collaborative curriculum planning and unit or lesson planning with school librarians.,Collaborative instruction and teaching.,Other (please specify),"No, I have not seen this document.","Yes, I have a copy that I purchased myself.","Yes, I have a copy that I received from my workplace.","Yes, I have a copy that was given to me by a librarian.","Yes, I have seen this document but do not have a copy.",Other (please specify),"No, I have not seen this document.","Yes, I have a copy that I purchased myself.","Yes, I have a copy that I received from my workplace.","Yes, I have a copy that was given to me by a librarian.","Yes, I have seen this document but do not have a copy.",Other (please specify),Response,Response,Open-Ended Response,Valuable,Relevant,Practical,Useful,Easy to use,Easy to understand,Well-written,Nicely designed,Well-organized,ADA Accessible,The AASL Standards use words and terms that mirror other standards I use.,The AASL Standards are easy to crosswalk with other standards I use.,The AASL Standards are aligned with my educational outlook and direction.,The school library is a unique and essential part of a learning community.,Qualified school librarians lead effective school libraries.,"Learners should be prepared for college, career, and life.",Reading is the core of personal and academic competency.,Intellectual freedom is every learner’s right.,Information technologies must be appropriately integrated and equitably available.,Response,None of the above,Lesson preparation and learner assessment,Planning and delivering professional learning opportunities for other educators,Encouraging collaboration with teacher colleagues,Engaging with other educators across content areas,"Engaging with external stakeholders (local libraries, organizations, or businesses)",Engaging with parents or guardians,Demonstrating learner success to others,Guiding instructional priorities,Developing curriculum,Advocating on behalf of the school library,Advocating on behalf of the learners,Increasing the understanding of the role of the school librarian,Other (please specify),Open-Ended Response,Response,for Learners,for School Librarians,for School Libraries,"Inquire Build new knowledge by inquiring, thinking critically, identifying problems, and developing strategies for solving problems",Include Demonstrate an understanding and commitment to inclusiveness and respect for diversity in the learning community,Collaborate Work effectively with others to broaden perspectives and work toward common goals,"Curate Make meaning for oneself and others by collecting, organizing, and sharing resources of personal relevance",Explore Discover and innovate in a growth mindset developed through experience and reflection,"Engage Demonstrate safe, legal, and ethical creating and sharing of knowledge products independently while engaging in a community of practice and in an interconnected world","Think Inquire, think critically, and gain knowledge","Create Draw conclusions, make informed decisions, apply knowledge to new situations, and create new knowledge",Share Share knowledge and participate ethically and productively as members of our democratic society,Grow Pursue personal and aesthetic growth,Response,Open-Ended Response,Open-Ended Response,Response,Response,Response,Response,Response,Response,Not using AASL Standards,English language version,Another language (please specify),Response,Other (please specify),Response,Response,Other (please specify),Response,Other (please specify),Open-Ended Response
118474612241,453683477,2023-11-20 10:06:21,2023-11-20 10:06:31,,,,,,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118474473908,453683477,2023-11-20 07:45:34,2023-11-20 07:45:52,,,,,,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118474210798,453683477,2023-11-19 23:24:27,2023-11-19 23:57:41,,,,,,,Teacher (e.g. educational faculty),,,Instructional Facilitator/ Coach,,Middle school or junior high school,High school,,,,,Public school,,,,,,American Association of School Librarians (AASL),American Library Association (ALA),Association for Supervision and Curriculum Development (ASCD),Common Core State Standards Initiative (CCSS),,,Future Ready Schools,,,National Council for the Social Studies (NCSS),National Council of Teachers of English (NCTE),,,,,Certified / licensed school librarian,,,,,On a weekly basis,,The school librarian provides resources.,The school librarian supports my lessons.,,We deliver instruction together.,,We collaborate on special events and programming.,,I do,,Curriculum support with lessons.,,School librarians participate in content/department meetings.,School librarians participate in grade-level meetings.,Collaborative curriculum planning and unit or lesson planning with school librarians.,,,,,,,"Yes, I have seen this document but do not have a copy.",,,,,,"Yes, I have seen this document but do not have a copy.",,Very familiar,Good,,Describes completely,Describes completely,2,Describes completely,2,2,2,Describes completely,Describes completely,2,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118473198770,453683477,2023-11-17 19:52:30,2023-11-17 19:54:32,,,,,,,Teacher (e.g. educational faculty),,,,Elementary school,,,,,,,Public school,,,,,,American Association of School Librarians (AASL),,,Common Core State Standards Initiative (CCSS),,,,,,,,,,,,Certified / licensed school librarian,Paraprofessional or other non-instructional staff,,,,A couple times per year,The librarian is not approachable.,The school librarian provides resources.,,,,,,,I do,,,I do not facilitate opportunities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118473020827,453683477,2023-11-17 14:38:18,2023-11-17 14:43:39,,,,,,,,,Building Level Technology (e.g. tech specialist/ coach),,,,,,School District office,,,Public school,,,,,,,,Association for Supervision and Curriculum Development (ASCD),Common Core State Standards Initiative (CCSS),,,,International Society for Technology in Education (ISTE),,,,,Next Generation Science Standards (NGSS),CSTA Standards,,Certified / licensed school librarian,,,,,On a monthly basis,,,,,,,,I am a liason between the TL's and district Admin,"It varies; sometimes me, sometimes someone else",,Development of Literacy Skills,,,,,,encourage them to collaborate in their buildings as much as possible,,,,,"Yes, I have seen this document but do not have a copy.",,"No, I have not seen this document.",,,,,,Not too familiar,,,,,,,,,,,,,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118473024036,453683477,2023-11-17 14:42:23,2023-11-17 14:42:47,,,,,,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118472971498,453683477,2023-11-17 07:29:12,2023-11-17 13:41:51,,,,,,,Teacher (e.g. educational faculty),,,,,Middle school or junior high school,,,,,,Public school,,,,,,,,,,,,,,National Board for Professional Teaching Standards (NBPTS),,National Council of Teachers of English (NCTE),,,,,Certified / licensed school librarian,,,,,On a monthly basis,,The school librarian provides resources.,The school librarian supports my lessons.,,,,,,"It varies; sometimes me, sometimes someone else",,Tech and creative support,,School librarians participate in content/department meetings.,,,Collaborative instruction and teaching.,,,,,"Yes, I have a copy that was given to me by a librarian.",,,,,,"Yes, I have a copy that was given to me by a librarian.",,,Not at all familiar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118472772430,453683477,2023-11-17 10:13:15,2023-11-17 10:15:55,,,,,,,Teacher (e.g. educational faculty),,,,,Middle school or junior high school,,,,,,Public school,,,,,,American Association of School Librarians (AASL),,,,,,,,,,,,,,,Certified / licensed school librarian,,Teacher on special assignment,,,On a weekly basis,,The school librarian provides resources.,The school librarian supports my lessons.,,We deliver instruction together.,,We collaborate on special events and programming.,,"It varies; sometimes me, sometimes someone else",,,,School librarians participate in content/department meetings.,,Collaborative curriculum planning and unit or lesson planning with school librarians.,Collaborative instruction and teaching.,,"No, I have not seen this document.",,,,,,"No, I have not seen this document.",,,,,,Not at all familiar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118471867368,453683477,2023-11-16 11:38:46,2023-11-16 15:19:43,,,,,,,Teacher (e.g. educational faculty),,,,,Middle school or junior high school,,,,,,Public school,,,,,None of the above,,,,,,,,,,,,,,,,Certified / licensed school librarian,,,,,A couple times per year,"no time, heavy course work requirements",The school librarian provides resources.,The school librarian supports my lessons.,We plan instructional units together.,We deliver instruction together.,,,,"It varies; sometimes me, sometimes someone else",,core of the school and activities,,,,Collaborative curriculum planning and unit or lesson planning with school librarians.,Collaborative instruction and teaching.,,,,,,"Yes, I have seen this document but do not have a copy.",,,,,,"Yes, I have seen this document but do not have a copy.",,Not too familiar,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,,,,Encouraging collaboration with teacher colleagues,,,,,Guiding instructional priorities,,,,,,,Never,,,,,,,,,,,,,,Good,,,55-64,Graduated 4-year college,30 or more years,5-9 years,Alabama,,,,,English,,No,White,,Employed full-time,,
